Day,Num,pH7.0V,pH7.5V,pH8.1S,pH8.1V,pH7.0S,pH7.5S
D4,290,7.012406,7.493045,8.098907,7.983538,7.030534,7.489804
D4,291,7.04528,7.512783,8.096667,7.994263,6.965063,7.497483
D4,292,7.066385,7.513587,8.101102,7.994267,6.979557,7.490989
D4,293,7.082757,7.513041,8.100738,8.005012,6.975859,7.496612
D4,294,7.103315,7.536656,8.101075,8.007039,6.999116,7.493309
D4,295,7.062558,7.556653,8.100513,8.018976,6.99864,7.497186
D4,296,7.062297,7.555613,8.100754,8.019244,6.997839,7.492257
D4,297,7.064003,7.555956,8.100775,8.020445,6.999767,7.492976
D4,298,7.108062,7.578276,8.101,8.042391,7.000206,7.496284
D4,299,7.121326,7.599106,8.100995,8.042315,7.000578,7.497493
D4,300,7.128155,7.597619,8.100738,8.042261,6.99919,7.492481
D4,301,7.135808,7.598918,8.098968,8.046514,7.000303,7.496008
D4,302,7.175931,7.621789,8.092511,8.013929,7.031787,7.496481
D4,303,7.179994,7.649941,8.100722,7.832456,6.967776,7.493094
D4,304,7.186004,7.651187,8.102628,7.8579,6.976929,7.496587
D4,305,7.190693,7.651604,8.101478,7.881625,6.969064,7.497315
D4,306,7.215764,7.675603,8.101075,7.909384,6.997271,7.492427
D4,307,7.21651,7.702073,8.089686,7.929383,7.000019,7.497462
D4,308,7.215915,7.706909,8.100742,7.943356,7.000292,7.49141
D4,309,7.216855,7.706526,8.100722,7.947332,6.999703,7.493365
D4,310,7.260675,7.720388,8.101075,7.911469,6.999731,7.493202
D4,311,7.269417,7.74786,8.100914,7.705023,6.999918,7.497385
D4,312,7.269465,7.750798,8.100742,7.756033,6.998871,7.497296
D4,313,7.270379,7.751081,8.101086,7.793939,6.999932,7.493774
D4,314,7.314227,7.761067,8.100754,7.829007,6.999738,7.490717
D4,315,7.323444,7.777087,8.101032,7.848635,6.99972,7.497106
D4,316,7.323637,7.793182,8.100718,7.845308,6.999694,7.488953
D4,317,7.324646,7.804814,8.101222,7.799535,6.99969,7.493828
D4,318,7.297284,7.769194,8.100753,7.832875,6.999143,7.494759
D4,319,7.259582,7.680414,8.101227,7.652196,6.999941,7.49739
D4,320,7.259912,7.708924,8.100914,7.677273,6.999104,7.492185
D4,321,7.261168,7.739234,8.100754,7.725163,6.999363,7.494691
D4,322,7.247146,7.719321,8.100963,7.771942,6.999421,7.494539
D4,323,7.205283,7.651648,8.100742,7.644294,7.000176,7.492045
D4,324,7.205996,7.690803,8.100952,7.62712,6.999137,7.492337
D4,325,7.205922,7.700275,8.100742,7.680079,6.999661,7.497304
D4,326,7.200199,7.665229,8.099203,7.727178,6.998396,7.496649
D4,327,7.16055,7.598632,8.096895,7.572807,6.999651,7.493659
D4,328,7.160586,7.637422,8.100822,7.593822,6.999216,7.493124
D4,329,7.162032,7.627564,8.10093,7.651569,6.999896,7.491479
D4,330,7.153934,7.61629,8.100726,7.659871,6.999736,7.492401
D4,331,7.106769,7.553432,8.101032,7.47934,6.998295,7.496723
D4,332,7.107152,7.58484,8.100742,7.550286,6.999682,7.493226
D4,333,7.107429,7.579751,8.100742,7.614351,6.997477,7.496866
D4,334,7.105897,7.564335,8.100877,7.585775,6.999319,7.492208
D4,335,7.063298,7.514473,8.100738,7.443155,6.998693,7.496727
D4,336,7.062701,7.545021,8.100946,7.520174,6.998895,7.492355
D4,337,7.064787,7.540143,8.101032,7.574528,6.999876,7.492506
D4,338,7.060803,7.53669,8.100722,7.50506,6.998958,7.490234
D4,339,7.007625,7.470055,8.101125,7.529744,7.00004,7.492818
D4,340,7.006964,7.495502,8.100984,7.533077,6.999228,7.492345
D4,341,7.008358,7.502698,8.099879,7.535914,6.999915,7.497517
D4,342,7.023458,7.472082,8.093514,7.492819,7.000292,7.497525
D4,343,6.955637,7.436978,8.101547,7.416928,6.998911,7.49722
D4,344,6.953842,7.444511,8.10148,7.477621,6.999887,7.49252
D4,345,6.955933,7.443949,8.101464,7.463264,7.001106,7.491734
D4,346,6.978957,7.425817,8.101027,7.531909,7.001349,7.492774
D4,347,6.917372,7.384694,8.094468,7.526591,7.000369,7.493978
D4,348,6.914546,7.394825,8.100742,7.529279,6.999919,7.493529
D4,349,6.916117,7.385772,8.101032,7.531547,7.000621,7.493071
D4,350,6.932604,7.38162,8.100754,7.555116,7.033,7.497472
D4,351,6.871154,7.348536,8.101082,7.591181,6.971009,7.497647
D4,352,6.868718,7.346001,8.100753,7.561592,6.975576,7.492694
D4,353,6.871176,7.344901,8.101038,7.565609,6.975094,7.493363
D4,354,6.892066,7.329741,8.100718,7.611767,6.999838,7.496772
D4,355,6.827663,7.292842,8.101125,7.629736,7.000452,7.495283
D4,356,6.816466,7.292927,8.100742,7.633835,6.998582,7.490614
D4,357,6.818981,7.29731,8.101098,7.621735,6.998589,7.492444
D4,358,6.837867,7.283659,8.101065,7.679243,6.974625,7.497775
D4,359,6.780818,7.255641,8.100738,7.689316,6.978946,7.491843
D4,360,6.762677,7.255417,8.101086,7.686517,6.967029,7.492374
D4,361,6.76378,7.253035,8.100893,7.686857,6.977044,7.497536
D4,362,6.796569,7.232311,8.101086,7.708191,6.985694,7.492609
D4,363,6.750536,7.193855,8.101125,7.731824,6.999005,7.496902
D5,364,6.721661,7.19176,8.10006,7.715401,6.998499,7.489922
D5,365,6.723607,7.190526,8.101032,7.724717,6.99977,7.490967
D5,366,6.784657,7.241809,8.100984,7.72158,6.999786,7.4976
D5,367,6.851509,7.26499,8.100895,7.77301,6.999663,7.49196
D5,368,6.908858,7.265135,8.101123,7.793559,6.998909,7.492892
D5,369,6.955338,7.265929,8.101032,7.792955,6.99853,7.497254
D5,370,6.935929,7.297079,8.100742,7.796097,6.999397,7.488161
D5,371,6.83627,7.307818,8.101304,7.827784,6.999318,7.493927
D5,372,6.816133,7.306998,8.100754,7.848958,7.000244,7.495208
D5,373,6.817585,7.307088,8.100995,7.8128,6.997493,7.497844
D5,374,6.881494,7.341524,8.101038,7.819909,6.998444,7.49201
D5,375,6.937964,7.359466,8.100984,7.843081,6.999398,7.495604
D5,376,6.979376,7.358692,8.100946,7.860076,6.998569,7.493995
D5,377,7.016686,7.359811,8.098145,7.873908,6.999575,7.493419
D5,378,6.987544,7.393275,8.101417,7.89433,6.998247,7.491471
D5,379,6.913933,7.404012,8.10207,7.909737,6.99859,7.49759
D5,380,6.913062,7.40334,8.10197,7.917621,6.998239,7.492553
D5,381,6.915509,7.403591,8.101417,7.927192,6.998873,7.49694
D5,382,6.970245,7.437006,8.101357,7.938213,7.032604,7.490393
D5,383,7.007391,7.460826,8.101032,7.947904,6.975419,7.494271
D5,384,7.040534,7.461212,8.100753,7.948853,6.971107,7.491416
D5,385,7.066647,7.460702,8.100866,7.966562,6.978067,7.491956
D5,386,7.057473,7.488428,8.101269,7.969456,6.999172,7.497775
D5,387,7.006214,7.513433,8.099052,7.981072,6.999903,7.497035
D5,388,7.005505,7.512353,8.101086,7.981051,6.999022,7.490865
D5,389,7.007331,7.512593,8.100402,7.9811,6.998962,7.497023
D5,390,7.066208,7.543032,8.093514,7.989601,6.999488,7.494668
D5,391,7.086679,7.556223,8.102139,7.99437,6.999851,7.495231
D5,392,7.098364,7.556131,8.10148,7.994386,6.999092,7.49698
D5,393,7.105064,7.556023,8.101487,7.994335,6.998456,7.497745
D5,394,7.149178,7.573876,8.100877,8.000982,6.999058,7.497222
D5,395,7.106181,7.597541,8.100877,8.006275,6.999403,7.49249
D5,396,7.106326,7.597801,8.095432,8.006141,7.000167,7.497716
D5,397,7.108212,7.597932,8.100738,8.018982,7.000745,7.491178
D5,398,7.16554,7.615067,8.101053,8.01909,7.000335,7.494884
D5,399,7.17702,7.644743,8.100995,7.986305,7.000438,7.494952
D5,400,7.176991,7.650945,8.100822,7.90165,7.000228,7.497526
D5,401,7.177659,7.652493,8.100994,7.916792,7.000147,7.496761
D5,402,7.211842,7.669863,8.100865,7.92778,7.000233,7.493391
D5,403,7.215137,7.697188,8.100722,7.939504,7.000232,7.495161
D5,404,7.215892,7.70748,8.100641,7.948161,6.999597,7.495146
D5,405,7.216182,7.707784,8.100696,7.918146,7.00028,7.492616
D5,406,7.259598,7.710827,8.100994,7.922891,7.000599,7.493651
D5,407,7.269343,7.734509,8.100753,7.791499,7.000249,7.49319
D5,408,7.269023,7.750947,8.101139,7.709237,6.999964,7.496919
D5,409,7.269717,7.751063,8.100696,7.75732,7.001202,7.493178
D5,410,7.314347,7.762454,8.101125,7.78863,7.000014,7.49158
D5,411,7.324592,7.77598,8.10093,7.819893,7.000414,7.489734
D5,412,7.325148,7.792564,8.101038,7.846008,6.999681,7.49737
D5,413,7.325657,7.804705,8.100726,7.816648,7.000292,7.491869
D5,414,7.296786,7.769542,8.10119,7.831801,7.000148,7.497385
D5,415,7.259677,7.680708,8.101086,7.656564,7.0009,7.492372
D5,416,7.259351,7.707226,8.100742,7.672832,7.000283,7.493012
D5,417,7.26049,7.735794,8.10085,7.715954,6.999676,7.496516
D5,418,7.248179,7.720665,8.100984,7.752433,7.000066,7.493598
D5,419,7.205915,7.655693,8.101112,7.734262,7.000201,7.488818
D5,420,7.205942,7.693251,8.095771,7.713311,7.00051,7.493474
D5,421,7.207078,7.704747,8.100498,7.749245,6.999403,7.493317
D5,422,7.204412,7.665628,8.101032,7.690959,7.001196,7.492548
D5,423,7.1608,7.609242,8.101032,7.513429,7.000833,7.490208
D5,424,7.160389,7.642095,8.10085,7.576231,6.999974,7.493424
D5,425,7.16327,7.64595,8.100896,7.634595,7.000018,7.49195
D5,426,7.155053,7.636457,8.101075,7.681403,6.999762,7.474957
D5,427,7.106938,7.53342,8.101028,7.521983,6.999931,7.4771
D5,428,7.107086,7.578568,8.099335,7.557616,6.999666,7.482849
D5,429,7.107985,7.57724,8.101032,7.617495,6.999796,7.466839
D5,430,7.107868,7.583428,8.100914,7.584675,7.032725,7.475519
D5,431,7.063365,7.509696,8.096682,7.441737,6.973212,7.497451
D5,432,7.063453,7.540239,8.101,7.515038,6.97295,7.497481
D5,433,7.066846,7.540096,8.101032,7.575364,6.97298,7.492785
D5,434,7.062578,7.520315,8.101028,7.519305,6.998665,7.492801
D5,435,7.007788,7.482868,8.101082,7.416055,6.999663,7.491954
D5,436,7.006804,7.497099,8.101,7.492606,6.998852,7.497542
D5,437,7.008306,7.497598,8.101022,7.513773,6.998872,7.492077
D5,438,7.011858,7.472183,8.101032,7.481114,6.999097,7.497472
D5,439,6.954273,7.436138,8.101125,7.476138,6.9995,7.49693
D5,440,6.95514,7.438198,8.098385,7.47849,6.99948,7.492908
D5,441,6.955777,7.445641,8.101032,7.469796,6.999856,7.492208
D5,442,6.97434,7.420166,8.100946,7.534497,6.998872,7.493044
D5,443,6.914339,7.38491,8.100726,7.540669,6.998788,7.492801
D5,444,6.913656,7.389552,8.101125,7.52645,6.998838,7.497106
D5,445,6.914547,7.386071,8.100973,7.518871,6.999603,7.49271
D5,446,6.931057,7.376476,8.101075,7.557679,6.972716,7.497527
D5,447,6.87176,7.344118,8.100952,7.587164,6.976483,7.497645
D5,448,6.869823,7.349812,8.100968,7.563865,6.970694,7.492811
D5,449,6.87287,7.347778,8.101211,7.583418,6.979192,7.4922
D5,450,6.8975,7.329774,8.100963,7.604239,6.991539,7.492785
D5,451,6.837937,7.292853,8.101038,7.642539,7.000308,7.493204
D5,452,6.818521,7.293061,8.101048,7.617557,7.001055,7.490916
D5,453,6.818501,7.295617,8.101028,7.63739,7.000746,7.497446
D5,454,6.848815,7.285976,8.101075,7.627348,7.000293,7.49326
D5,455,6.815455,7.254401,8.101125,7.669444,7.000918,7.489665
D5,456,6.781659,7.253823,8.101125,7.692782,7.000286,7.496394
D5,457,6.7665,7.255502,8.101086,7.691208,7.000589,7.490958
D5,458,6.800261,7.235826,8.101178,7.704089,7.000478,7.494283
D5,459,6.768005,7.195456,8.100946,7.741547,7.00089,7.497374
D6,460,6.740932,7.192329,8.101222,7.716728,7.000448,7.497493
D6,461,6.725728,7.194598,8.099407,7.728455,7.000303,7.494442
D6,462,6.786065,7.226743,8.100439,7.766037,7.000628,7.496848
D6,463,6.859938,7.265408,8.10227,7.791091,7.000095,7.497301
D6,464,6.923502,7.265491,8.102216,7.764354,7.001112,7.490275
D6,465,6.977424,7.264693,8.10242,7.772444,7.00073,7.497377
D6,466,6.959837,7.298141,8.101028,7.798146,7.000539,7.496431
D6,467,6.867625,7.307796,8.101145,7.82421,7.000824,7.490946
D6,468,6.819557,7.307273,8.100968,7.84519,7.000276,7.495732
D6,469,6.818662,7.30821,8.101086,7.835125,7.000899,7.492996
D6,470,6.881165,7.341167,8.101028,7.816902,7.000297,7.492743
D6,471,6.945518,7.360725,8.101048,7.83884,6.998963,7.492632
D6,472,6.99236,7.360013,8.101,7.856716,6.999408,7.492937
D6,473,7.037701,7.360393,8.101227,7.869803,6.999996,7.497372
D6,474,7.010136,7.390557,8.100995,7.893343,7.000086,7.493146
D6,475,6.91873,7.404065,8.100995,7.908436,6.999164,7.494031
D6,476,6.913589,7.403666,8.10116,7.917734,6.999725,7.497137
D6,477,6.914456,7.404001,8.100994,7.926909,6.998698,7.493045
D6,478,6.970099,7.431695,8.101001,7.938241,6.999839,7.492621
D6,479,7.015681,7.461833,8.101224,7.948042,6.998645,7.492655
D6,480,7.051621,7.460966,8.100995,7.952158,6.99859,7.494234
D6,481,7.07921,7.46125,8.101032,7.967508,6.999313,7.492137
D6,482,7.062955,7.48536,8.101053,7.972401,6.998724,7.533576
D6,483,7.006306,7.513754,8.101075,7.980931,6.999851,7.425373
D6,484,7.006686,7.512364,8.101259,7.980915,6.999658,7.473149
D6,485,7.008587,7.51308,8.100946,7.990592,6.999016,7.473772
D6,486,7.066414,7.538439,8.101086,7.994039,6.967859,7.492918
D6,487,7.090223,7.556291,8.100995,7.998657,6.975978,7.497392
D6,488,7.103011,7.555934,8.10113,8.006071,6.970391,7.496754
D6,489,7.108542,7.556431,8.101028,8.006439,6.979007,7.495803
D6,490,7.152308,7.580734,8.100968,8.015748,6.985092,7.490308
D6,491,7.10631,7.597412,8.101417,8.019141,6.997878,7.492963
D6,492,7.106374,7.597614,8.101125,8.019154,6.999457,7.497515
D6,493,7.10787,7.597722,8.101028,8.019141,6.999677,7.493435
D6,494,7.164608,7.622293,8.101032,8.033037,6.999475,7.491271
D6,495,7.176894,7.647788,8.101254,7.870971,6.998748,7.493099
D6,496,7.177202,7.652038,8.10078,7.866815,6.999005,7.497649
D6,497,7.178291,7.652304,8.100786,7.890692,6.999021,7.497171
D6,498,7.212208,7.669979,8.101157,7.912076,6.999924,7.497267
D6,499,7.214903,7.699306,8.100952,7.925644,6.999154,7.497615
D6,500,7.214684,7.707464,8.101264,7.940924,6.998466,7.492088
D6,501,7.215635,7.707497,8.101053,7.94862,6.999248,7.496829
D6,502,7.259013,7.726205,8.100946,7.857575,6.998541,7.495692
D6,503,7.268077,7.751508,8.098866,7.677219,6.99808,7.489947
D6,504,7.268289,7.751106,8.100629,7.722169,6.998971,7.492931
D6,505,7.269364,7.751316,8.093058,7.769517,6.998525,7.493264
D6,506,7.314656,7.755938,8.101032,7.799475,6.998417,7.49763
D6,507,7.323403,7.771999,8.100984,7.832655,6.999012,7.492817
D6,508,7.322901,7.788387,8.095367,7.845928,6.998617,7.493173
D6,509,7.32451,7.805497,8.100946,7.814822,6.999355,7.492003
D6,510,7.295113,7.752054,8.101032,7.830385,6.999399,7.497198
D6,511,7.259522,7.680481,8.100984,7.569679,6.999577,7.491126
D6,512,7.259801,7.708701,8.101066,7.627244,6.998981,7.49462
D6,513,7.260791,7.738204,8.101032,7.67685,6.997862,7.497522
D6,514,7.246747,7.71802,8.101,7.71953,6.998968,7.49708
D6,515,7.205512,7.648771,8.101281,7.750262,6.997952,7.492812
D6,516,7.204805,7.689429,8.100599,7.723269,6.998818,7.492656
D6,517,7.206548,7.693803,8.098593,7.710527,6.999483,7.492625
D6,518,7.199117,7.67028,8.101082,7.695119,7.031601,7.4921
D6,519,7.159883,7.595111,8.101075,7.495204,6.966788,7.492523
D6,520,7.160667,7.637203,8.097144,7.559597,6.979862,7.49775
D6,521,7.161563,7.631816,8.099362,7.6202,6.972147,7.496881
D6,522,7.150547,7.613021,8.101368,7.63044,6.998841,7.492311
D6,523,7.106481,7.552711,8.100949,7.640518,6.998375,7.496171
D6,524,7.106438,7.582244,8.101102,7.612288,6.999223,7.49358
D6,525,7.108001,7.577753,8.101065,7.637089,6.999254,7.492112
D6,526,7.106075,7.586285,8.099584,7.568318,6.999387,7.489799
D6,527,7.063912,7.50742,8.100386,7.577934,6.997829,7.496179
D6,528,7.063319,7.537852,8.099586,7.55584,6.998872,7.497692
D6,529,7.064583,7.545883,8.101,7.564939,6.998865,7.492812
D6,530,7.061915,7.520766,8.101075,7.581574,6.999567,7.497558
D6,531,7.007242,7.490031,8.101032,7.421397,6.998686,7.497234
D6,532,7.007575,7.495249,8.100952,7.475727,6.998849,7.492692
D6,533,7.008772,7.500077,8.101032,7.536363,6.998639,7.497558
D6,534,7.018398,7.470362,8.100963,7.478769,6.999238,7.497682
D6,535,6.955132,7.434596,8.101038,7.488291,6.998727,7.492742
D6,536,6.955314,7.446949,8.101027,7.473411,6.999297,7.497362
D6,537,6.957316,7.441369,8.099723,7.476325,6.999465,7.497454
D6,538,6.972105,7.425344,8.100764,7.500857,7.000112,7.493184
D6,539,6.914092,7.384637,8.098352,7.53444,6.999506,7.497435
D6,540,6.91421,7.388861,8.101065,7.54195,6.99961,7.494126
D6,541,6.915989,7.392728,8.100946,7.532368,6.99989,7.496416
D6,542,6.934092,7.377961,8.101011,7.541161,6.999794,7.530202
D6,543,6.878568,7.347369,8.101184,7.577477,7.000452,7.441277
D6,544,6.872939,7.346017,8.10085,7.565918,6.999188,7.476754
D6,545,6.87342,7.347297,8.100994,7.567872,7.000403,7.477259
D6,546,6.896924,7.331592,8.101125,7.594353,6.973369,7.493173
D6,547,6.835703,7.296658,8.100893,7.641015,6.980514,7.494695
D6,548,6.82078,7.296322,8.101075,7.618834,6.976513,7.495563
D6,549,6.818894,7.296079,8.101254,7.644614,6.986194,7.497266
D6,550,6.84787,7.286784,8.101037,7.620208,6.994067,7.530316
D6,551,6.815867,7.253584,8.100946,7.658553,7.000329,7.43198
D6,552,6.788966,7.25502,8.100952,7.695914,7.000636,7.465504
D6,553,6.773687,7.252107,8.101194,7.682884,7.001178,7.465534
D6,554,6.809932,7.236761,8.100905,7.694772,7.000537,7.488432
D6,555,6.790628,7.195608,8.100865,7.724133,7.000723,7.496745
D7,556,6.746321,7.196292,8.101011,7.750627,7.000614,7.496947
D7,557,6.718159,7.19526,8.101102,7.708952,7.000626,7.494237
D7,558,6.757948,7.24672,8.100968,7.741107,6.975824,7.490076
D7,559,6.793227,7.26466,8.100877,7.766299,6.979444,7.496753
D7,560,6.820858,7.26358,8.100893,7.787127,6.977968,7.491532
D7,561,6.844419,7.262676,8.100552,7.794889,6.980473,7.496376
D7,562,6.86784,7.286088,8.101296,7.791716,6.98564,7.49646
D7,563,6.815146,7.304821,8.100834,7.812829,7.000767,7.491645
D7,564,6.812882,7.305676,8.097203,7.829241,7.000709,7.496471
D7,565,6.813918,7.305647,8.090654,7.843278,7.000974,7.491575
D7,566,6.857974,7.32878,8.087146,7.853163,7.000478,7.526822
D7,567,6.889548,7.351884,8.087146,7.865098,7.000943,7.442817
D7,568,6.905841,7.358391,8.087131,7.86528,7.000233,7.465899
D7,569,6.91929,7.356131,8.087152,7.875557,7.000722,7.477064
D7,570,6.952001,7.376326,8.087131,7.878676,7.000503,7.491549
D7,571,6.911536,7.399567,8.083568,7.878671,7.000966,7.490537
D7,572,6.91089,7.401931,8.077714,7.878649,6.999726,7.493018
D7,573,6.911468,7.402514,8.067178,7.88287,6.999564,7.496698
D7,574,6.949142,7.414731,8.067087,7.886505,6.984611,7.491436
D7,575,6.961642,7.437104,8.067039,7.899064,6.979227,7.490879
D7,576,6.970473,7.458986,8.067034,7.899051,6.976764,7.495775
D7,577,6.973629,7.459911,8.067098,7.899042,6.979733,7.488841
D7,578,7.006124,7.469402,8.06705,7.899053,6.995847,7.491617
D7,579,7.013457,7.486843,8.067013,7.899076,6.999709,7.494748